,string,tokens,label
0,make its first appearance,"['make', 'its', 'first', 'appearance']",LVC
1,make some progress,"['make', 'some', 'progress']",LVC
2,get my first train set,"['get', 'my', 'first', 'train', 'set']",LVC
3,make a delightful short speech,"['make', 'a', 'delightful', 'short', 'speech']",LVC
4,do race,"['do', 'race']",LVC
5,have a proven record,"['have', 'a', 'proven', 'record']",LVC
6,take the question,"['take', 'the', 'question']",LVC
7,take a step,"['take', 'a', 'step']",LVC
8,make even less sense,"['make', 'even', 'less', 'sense']",LVC
9,make a contribution,"['make', 'a', 'contribution']",LVC
10,make sense,"['make', 'sense']",LVC
11,do the shopping,"['do', 'the', 'shopping']",LVC
12,do good due diligence work,"['do', 'good', 'due', 'diligence', 'work']",LVC
13,do the work,"['do', 'the', 'work']",LVC
14,take out a loan,"['take', 'out', 'a', 'loan']",LVC
15,make a simple but eye-catching statement,"['make', 'a', 'simple', 'but', 'eye-catching', 'statement']",LVC
16,take away her pleasure,"['take', 'away', 'her', 'pleasure']",LVC
17,take a step,"['take', 'a', 'step']",LVC
18,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
19,do the work,"['do', 'the', 'work']",LVC
20,give her promise,"['give', 'her', 'promise']",LVC
21,take work,"['take', 'work']",LVC
22,do only privately paid work,"['do', 'only', 'privately', 'paid', 'work']",LVC
23,get an overall picture,"['get', 'an', 'overall', 'picture']",LVC
24,do a deal,"['do', 'a', 'deal']",LVC
25,have the learner scream,"['have', 'the', 'learner', 'scream']",LVC
26,make a study,"['make', 'a', 'study']",LVC
27,do a dinner party,"['do', 'a', 'dinner', 'party']",LVC
28,do farm work,"['do', 'farm', 'work']",LVC
29,do all the work,"['do', 'all', 'the', 'work']",LVC
30,get some new identity,"['get', 'some', 'new', 'identity']",LVC
31,get an ad-hoc interest,"['get', 'an', 'ad-hoc', 'interest']",LVC
32,get his chance,"['get', 'his', 'chance']",LVC
33,make love,"['make', 'love']",LVC
34,do her throbbing head,"['do', 'her', 'throbbing', 'head']",LVC
35,get a torch on the table,"['get', 'a', 'torch', 'on', 'the', 'table']",LVC
36,do the cooking,"['do', 'the', 'cooking']",LVC
37,do no harm,"['do', 'no', 'harm']",LVC
38,get some sleep,"['get', 'some', 'sleep']",LVC
39,have no objection,"['have', 'no', 'objection']",LVC
40,make up the difference,"['make', 'up', 'the', 'difference']",LVC
41,make a dramatic statement,"['make', 'a', 'dramatic', 'statement']",LVC
